step,accuracy,loss
0,0.078125,0.810027003288269
100,0.63234375,0.26427008226513865
200,0.797109375,0.1454494419693947
300,0.83453125,0.12516933649778367
400,0.844375,0.11140930965542793
500,0.8646875,0.10024617359042168
600,0.86671875,0.09842741899192334
700,0.874921875,0.09122062891721726
800,0.87546875,0.0922836907953024
900,0.886875,0.08458704728633165
1000,0.887578125,0.08293211255222559
1100,0.888359375,0.08280373483896256
1200,0.8925,0.07982959132641554
1300,0.89546875,0.07742289002984762
1400,0.902109375,0.07214684516191483
1500,0.903828125,0.0724233290925622
1600,0.900859375,0.07387697588652373
1700,0.90109375,0.07353205371648074
1800,0.907734375,0.06908966049551964
1900,0.912109375,0.06773680035024882
2000,0.908515625,0.06768297996371984
2100,0.913046875,0.06509040094912052
2200,0.91328125,0.06365991519764065
2300,0.915859375,0.06194091144949198
2400,0.91828125,0.061933514289557935
2500,0.924453125,0.05829234626144171
2600,0.92234375,0.058172688484191895
2700,0.926796875,0.05514262434095144
2800,0.925390625,0.055693160519003866
2900,0.926171875,0.056667395755648615
3000,0.923359375,0.05716457396745682
3100,0.93671875,0.04799012763425708
3200,0.93484375,0.051588429640978574
3300,0.93484375,0.051302211005240676
3400,0.926484375,0.05444918941706419
3500,0.941015625,0.0465402877703309
3600,0.941171875,0.045498360395431516
3700,0.9359375,0.04906281743198633
3800,0.942109375,0.04621353924274445
3900,0.937578125,0.04757792165502906
4000,0.946875,0.043927267175167796
4100,0.946015625,0.041820463594049215
4200,0.944296875,0.04284229163080454
4300,0.9453125,0.04357010755687952
4400,0.95375,0.03730266138911247
4500,0.951171875,0.03975456427782774
4600,0.951953125,0.038763358034193514
4700,0.9484375,0.04131104286760092
4800,0.95703125,0.03623589931055903
4900,0.9590625,0.034438251629471776
5000,0.95546875,0.03644938386976719
5100,0.950390625,0.04019565435126424
5200,0.95921875,0.034398171864449975
5300,0.96171875,0.03183583348058164
5400,0.9646875,0.031838487796485425
5500,0.95890625,0.03402609247714281
5600,0.9603125,0.03359245684929192
5700,0.967109375,0.028260859306901694
5800,0.96328125,0.031202038871124386
5900,0.9646875,0.031106715938076377
6000,0.961484375,0.03304561821743846
6100,0.96953125,0.027664466900750993
6200,0.968125,0.027522423965856434
6300,0.9690625,0.02859617947600782
6400,0.966953125,0.02910066144540906
6500,0.96953125,0.0265383592993021
6600,0.973515625,0.024727667467668652
6700,0.969765625,0.026877032835036518
6800,0.969296875,0.027927368618547915
6900,0.971484375,0.0254392855335027
7000,0.97640625,0.022523223739117384
7100,0.973828125,0.0235351147223264
7200,0.9740625,0.023846141044050456
7300,0.974453125,0.025402889354154468
7400,0.97890625,0.020786183206364512
7500,0.97953125,0.020466376366093754
7600,0.978359375,0.02097752071917057
7700,0.97390625,0.02456554620526731
7800,0.977578125,0.020493343565613033
7900,0.981171875,0.018466393859125674
8000,0.979765625,0.019706749999895693
8100,0.979140625,0.020430963849648834
8200,0.98015625,0.019817354837432504
8300,0.98453125,0.016216614837758242
8400,0.981328125,0.018092962144874037
8500,0.981015625,0.019547350853681564
